permno,date,ret,prc,shrout
10104,2022-01-03,0.007912,87.9,2670447.0
10104,2022-01-04,0.010694,88.84,2670447.0
10104,2022-01-05,-0.02679,86.46,2670447.0
10104,2022-01-06,0.002313,86.34,2670447.0
10104,2022-01-07,0.013551,87.51,2670447.0
10104,2022-01-10,0.020226,89.28,2670447.0
10104,2022-01-11,-0.008961,88.48,2670447.0
10104,2022-01-12,-0.001921,88.31,2670447.0
10104,2022-01-13,-0.005888,87.79,2670447.0
10104,2022-01-14,-0.001139,87.69,2670447.0
10104,2022-01-18,-0.024404,85.55,2670447.0
10104,2022-01-19,-0.025365,83.38,2670447.0
10104,2022-01-20,-0.007916,82.72,2670447.0
10104,2022-01-21,-0.006044,82.22,2670447.0
10104,2022-01-24,0.002432,82.42,2670447.0
10104,2022-01-25,-0.01638,81.07,2670447.0
10104,2022-01-26,-0.018256,79.59,2670447.0
10104,2022-01-27,0.002387,79.78,2670447.0
10104,2022-01-28,0.008774,80.48,2670447.0
10104,2022-01-31,0.008449,81.16,2670447.0
10104,2022-02-01,-0.001479,81.04,2670447.0
10104,2022-02-02,0.018016,82.5,2670447.0
10104,2022-02-03,-0.006788,81.94,2670447.0
10104,2022-02-04,0.002075,82.11,2670447.0
10104,2022-02-07,-0.016685,80.74,2670447.0
10104,2022-02-08,0.000619,80.79,2670447.0
10104,2022-02-09,0.032925,83.45,2670447.0
10104,2022-02-10,-0.019173,81.85,2670447.0
10104,2022-02-11,-0.025657,79.75,2670447.0
10104,2022-02-14,-0.010031,78.95,2670447.0
10104,2022-02-15,0.010386,79.77,2670447.0
10104,2022-02-16,-0.007271,79.19,2670447.0
10104,2022-02-17,-0.046218,75.53,2670447.0
10104,2022-02-18,-0.01271,74.57,2670447.0
10104,2022-02-22,-0.006035,74.12,2670447.0
10104,2022-02-23,-0.022261,72.47,2670447.0
10104,2022-02-24,0.032289,74.81,2670447.0
10104,2022-02-25,0.020586,76.35,2670447.0
10104,2022-02-28,-0.004977,75.97,2670447.0
10104,2022-03-01,0.000527,76.01,2670447.0
10104,2022-03-02,0.029864,78.28,2670447.0
10104,2022-03-03,-0.000383,78.25,2670447.0
10104,2022-03-04,-0.022492,76.49,2670447.0
10104,2022-03-07,-0.02837,74.32,2670447.0
10104,2022-03-08,-0.013321,73.33,2670447.0
10104,2022-03-09,0.037774,76.1,2670447.0
10104,2022-03-10,0.007227,76.65,2670447.0
10104,2022-03-11,0.015264,77.82,2670447.0
10104,2022-03-14,-0.009638,77.07,2670447.0
10104,2022-03-15,0.045803,80.6,2670447.0
10104,2022-03-16,-0.00794,79.96,2670447.0
10104,2022-03-17,0.008004,80.6,2670447.0
10104,2022-03-18,0.0134,81.68,2670447.0
10104,2022-03-21,-0.008815,80.96,2670447.0
10104,2022-03-22,0.010376,81.8,2670447.0
10104,2022-03-23,-0.017237,80.39,2670447.0
10104,2022-03-24,0.023013,82.24,2670447.0
10104,2022-03-25,-0.006201,81.73,2670447.0
10104,2022-03-28,0.02288,83.6,2670447.0
10104,2022-03-29,0.008254,84.29,2670447.0
10104,2022-03-30,-0.011033,83.36,2670447.0
10104,2022-03-31,-0.007558,82.73,2668157.0
10104,2022-04-01,-0.008703,82.01,2668157.0
10104,2022-04-04,0.025119,84.07,2668157.0
10104,2022-04-05,-0.013441,82.94,2668157.0
10104,2022-04-06,-0.009887,82.12,2668157.0
